2022-02-17 10:03:07,648 - 
2022-02-17 10:03:07,649 -   Loss en el conjunto de entrenamiento: 2.6207748716059758
2022-02-17 10:03:07,649 -   Tiempo de entrenamiento: 0:26:32
2022-02-17 10:03:07,650 - 
2022-02-17 10:03:07,650 - Evaluando.....
2022-02-17 10:04:10,914 -               precision    recall  f1-score   support

           0       0.54      0.58      0.56       447
           1       0.85      0.38      0.52        29
           2       0.52      0.68      0.59        82
           3       0.38      0.53      0.45        81
           4       0.00      0.00      0.00        19
           5       0.00      0.00      0.00        12
           6       0.33      0.53      0.40       110
           7       0.00      0.00      0.00        13
           8       0.47      0.50      0.48        40
           9       0.00      0.00      0.00        13
          10       0.00      0.00      0.00        22
          11       0.67      0.64      0.65       275
          12       0.44      0.51      0.47        49
          13       0.00      0.00      0.00        20
          14       0.00      0.00      0.00        18
          15       0.92      0.69      0.79        16
          16       0.00      0.00      0.00        12
          17       0.55      0.59      0.57        71
          18       0.00      0.00      0.00         8
          19       0.00      0.00      0.00        12
          20       0.00      0.00      0.00        39
          21       0.48      0.60      0.54       265
          22       0.00      0.00      0.00        16
          23       0.00      0.00      0.00         9
          24       0.50      0.67      0.58        83
          25       0.00      0.00      0.00        14
          26       0.00      0.00      0.00        21
          27       0.00      0.00      0.00        61
          28       0.53      0.75      0.62       221
          29       0.55      0.62      0.58       104
          30       0.50      0.26      0.34        42
          31       0.66      0.50      0.56       353
          32       0.72      0.53      0.61       165
          33       0.63      0.73      0.68       435
          34       0.49      0.54      0.52       316
          35       1.00      0.05      0.10        19
          36       0.00      0.00      0.00        32
          37       0.84      0.63      0.72        57
          38       0.56      0.45      0.50        40
          39       0.00      0.00      0.00        17
          40       0.63      0.53      0.58        36
          41       0.00      0.00      0.00        42
          42       0.00      0.00      0.00        19
          43       0.52      0.81      0.63        32
          44       0.00      0.00      0.00        25
          45       0.71      0.61      0.66       126
          46       0.33      0.06      0.10        36
          47       0.50      0.85      0.63       272
          48       0.00      0.00      0.00        11
          49       1.00      0.07      0.12        46
          50       0.42      0.17      0.24        30
          51       0.55      0.56      0.55       142
          52       0.00      0.00      0.00        10
          53       0.45      0.63      0.52        62
          54       0.76      0.53      0.62       241
          55       0.77      0.67      0.72        64
          56       0.00      0.00      0.00        19
          57       0.00      0.00      0.00        10
          58       0.00      0.00      0.00        15
          59       0.80      0.74      0.77        66
          60       0.78      0.62      0.69        68
          61       0.00      0.00      0.00         9
          62       1.00      0.07      0.14        27
          63       0.51      0.55      0.53        62
          64       0.00      0.00      0.00        18
          65       0.85      0.68      0.76       145
          66       0.46      0.61      0.52        92
          67       0.52      0.54      0.53        79
          68       0.59      0.61      0.60       224
          69       0.00      0.00      0.00        10
          70       0.24      0.23      0.24       799
          71       0.51      0.68      0.58       439
          72       0.00      0.00      0.00        42
          73       0.00      0.00      0.00        24
          74       0.00      0.00      0.00        13
          75       0.67      0.41      0.50        64
          76       0.00      0.00      0.00        84
          77       0.00      0.00      0.00        67
          78       0.59      0.89      0.71       327
          79       0.97      1.00      0.98        56
          80       0.00      0.00      0.00        41
          81       0.66      0.85      0.74      1100

    accuracy                           0.56      8752
   macro avg       0.35      0.32      0.31      8752
